,dice,RVE,Sens,Spec,HD95
patient002_frame01.nii.gz,2.5286530511125207,0.008817771200419306,0.9919710959454034,0.9995704558471035,0.0
patient002_frame12.nii.gz,2.478455554501469,0.012870455239841124,0.988905325443787,0.9995518858429184,0.0
patient003_frame01.nii.gz,2.4258601689726937,0.014827418570734078,0.9316316059517702,0.9999203898984335,0.0
patient003_frame15.nii.gz,2.3969484318853107,0.0035682091346153845,0.943022762618408,0.999817411337327,0.0
patient008_frame01.nii.gz,2.4756454787016957,0.019690087185874422,0.991891064871481,0.9993486412903889,0.0
patient008_frame13.nii.gz,2.490791045551341,0.02752795972956465,0.9921784472769409,0.9989834210022369,1.0
patient009_frame01.nii.gz,2.5296510415114573,0.0004469007433449031,0.9047397769516728,0.9995807736018502,0.0
patient009_frame13.nii.gz,2.5017179897489203,0.007364604577384999,0.7954545454545454,0.9996222623911779,0.0
patient012_frame01.nii.gz,2.5761946797957815,0.006621435309484072,0.962078305836001,0.9995977168194597,0.0
patient012_frame13.nii.gz,2.4996482788354606,0.0794620738468798,0.6164596273291926,0.9998561523634166,1.0
patient014_frame01.nii.gz,2.4461118607761145,0.014382179074349978,0.9267780737870348,0.9995657135734957,0.0
patient014_frame13.nii.gz,2.4436085622751103,0.008466425542867206,0.9724867724867725,0.9992574863695712,0.0
patient017_frame01.nii.gz,2.4315613890754837,0.009360397854470605,0.9728552278820375,0.9996281640978466,0.0
patient017_frame09.nii.gz,2.4127430272589674,0.0012980961256823325,0.9778153788306072,0.9994041148114846,0.0
patient024_frame01.nii.gz,2.2781268615130355,0.004661016949152543,0.9777406789092933,0.999569006220354,0.0
patient024_frame09.nii.gz,2.034663724197322,0.013056669194929028,0.979679802955665,0.9994114863452822,0.0
patient042_frame01.nii.gz,2.3950961594329185,0.001915542011319112,0.9944204463642908,0.999447670657214,0.0
patient042_frame16.nii.gz,2.3903168774649775,0.003776229221006735,0.9964927663305567,0.9995139900080938,0.0
patient048_frame01.nii.gz,2.439992225229129,0.0217338734054773,0.9770803949224259,0.9987223603965794,1.0
patient048_frame08.nii.gz,2.406155426349477,0.037635011398886274,0.9653121902874133,0.9996931240455433,0.0
patient049_frame01.nii.gz,2.3664138127085272,0.12721196690006364,0.9902359641985354,0.9990828797039396,1.0
patient049_frame11.nii.gz,2.5147935693259837,0.006470057177249473,0.8540372670807453,0.9997951250402433,0.0
patient053_frame01.nii.gz,2.416950576375599,0.011499917857729587,0.9721713658000732,0.9994738119191142,0.0
patient053_frame12.nii.gz,2.381693090038885,0.0016822536496350364,0.9275098574461632,0.9997598138962503,0.0
patient055_frame01.nii.gz,2.298357861531219,0.02600247397175549,0.9656286721504113,0.998737997371351,1.0
patient055_frame10.nii.gz,2.3132153335267733,0.0012243845856424796,0.7672561323445521,0.9989680103944977,1.0
patient064_frame01.nii.gz,2.2328365562261343,0.0015284488709200277,0.9770545539686256,0.9997816885636801,0.0
patient064_frame12.nii.gz,2.083991523791175,0.020419483446004506,0.931292808219178,0.9997432228509334,1.0
patient067_frame01.nii.gz,2.2490667090288086,0.03581617188196488,0.9476916980384387,0.9997770341383408,1.0
patient067_frame10.nii.gz,2.097013451143076,0.009544235924932976,0.9637893912703073,0.9996150713512669,1.0
patient079_frame01.nii.gz,2.31511999245415,0.0017501817496432322,0.9743667989014342,0.9995489635558377,0.0
patient079_frame11.nii.gz,2.136572325216479,0.014006476532324138,0.969309462915601,0.9991515346694082,1.0
patient081_frame01.nii.gz,2.3210821847881564,0.03717248634837934,0.8621700879765396,0.9996362254609762,1.0
patient081_frame07.nii.gz,2.066737120211359,0.04169700892736737,0.9208725406330197,0.9994652993438409,1.0
patient088_frame01.nii.gz,2.2734357717766764,0.009180527795657034,0.9577959183673469,0.9973957434404569,1.0
patient088_frame12.nii.gz,2.1411312395768336,0.059273823567964345,0.9410987074030552,0.9996421326633053,1.0
patient092_frame01.nii.gz,2.1281855698331658,0.017201586017793383,0.9922924901185771,0.9982419388124618,1.0
patient092_frame06.nii.gz,1.9054903031958468,0.057961962462134226,0.9814479638009049,0.9960950329583037,1.4142135381698608
patient095_frame01.nii.gz,2.1910944437260214,0.006278538812785388,0.9881990466224858,0.9995428704724424,0.0
patient095_frame12.nii.gz,2.0068049212776677,0.04408303583234166,0.9605799728137744,0.9982538135530649,1.0
